val,iteration,memory_cost_raw,memory_cost_quantized,memory_cost_noisy,latency_sec
192,7,369770496,385875968,370057942,1.1923115253448486
192,8,369774592,385875968,369519870,1.1996490955352783
192,9,369713152,385875968,369810013,2.269853115081787
208,0,400121856,402653184,399789466,1.2072129249572754
208,1,400027648,402653184,400205331,2.288813829421997
208,2,400109568,402653184,400253965,2.2747268676757812
208,3,400138240,402653184,399870996,1.209402084350586
208,4,400117760,402653184,400069206,1.1975750923156738
208,5,400134144,402653184,399834640,1.2074525356292725
208,6,400162816,402653184,400200182,2.2956740856170654
208,7,400220160,402653184,400053878,2.3045101165771484
208,8,400109568,402653184,399912039,2.291935443878174
208,9,400113664,402653184,400311108,2.267505645751953
224,0,430616576,436207616,430441403,2.340290069580078
224,1,430501888,436207616,430590790,1.2122735977172852
224,2,430546944,436207616,430339883,2.2699928283691406
224,3,430518272,436207616,430613313,2.2798948287963867
224,4,430624768,436207616,430283086,2.3017358779907227
224,5,430555136,436207616,430538338,1.2033555507659912
224,6,430526464,436207616,430496853,2.298943281173706
224,7,430465024,436207616,430309341,2.315924644470215
224,8,430563328,436207616,430604681,2.28436017036438
224,9,430559232,436207616,430280516,2.2930500507354736
240,0,461037568,469762048,460680066,2.264312505722046
240,1,460873728,469762048,460806386,2.285513401031494
240,2,461004800,469762048,460823116,2.2821366786956787
240,3,461004800,469762048,460944097,2.270465135574341
240,4,461025280,469762048,461007816,2.298623561859131
240,5,460886016,469762048,460967930,2.290653705596924
240,6,460951552,469762048,461282715,2.2639682292938232
240,7,461037568,469762048,460770853,2.291152000427246
240,8,460935168,469762048,461051478,2.2654621601104736
240,9,460980224,469762048,460609056,2.2525885105133057
255,0,489373696,503316480,489379330,2.31491756439209
255,1,489390080,503316480,489294206,2.280033588409424
255,2,489369600,503316480,489646794,2.2716121673583984
255,3,489320448,503316480,489476121,2.261876344680786
255,4,489414656,503316480,489090364,2.299340009689331
255,5,489377792,503316480,489339766,2.2732338905334473
255,6,489340928,503316480,489389259,2.260559320449829
255,7,489312256,503316480,489278318,2.274772882461548
255,8,489410560,503316480,489114480,2.356433868408203
255,9,489259008,503316480,489656329,2.2733731269836426
